district,date,month,year,visitors,Type
Bhadradri Kothagudem ,01-04-2017,April,2017,0,Foreign
Bhadradri Kothagudem ,01-05-2017,May,2017,0,Foreign
Bhadradri Kothagudem ,01-06-2017,June,2017,0,Foreign
Bhadradri Kothagudem ,01-07-2017,July,2017,0,Foreign
Bhadradri Kothagudem ,01-08-2017,August,2017,0,Foreign
Bhadradri Kothagudem ,01-09-2017,September,2017,0,Foreign
Bhadradri Kothagudem ,01-10-2017,October,2017,0,Foreign
Bhadradri Kothagudem ,01-11-2017,November,2017,0,Foreign
Bhadradri Kothagudem ,01-12-2017,December,2017,0,Foreign
Hyderabad,01-01-2017,January,2017,19286,Foreign
Hyderabad,01-02-2017,February,2017,18097,Foreign
Hyderabad,01-03-2017,March,2017,13875,Foreign
Hyderabad,01-04-2017,April,2017,12996,Foreign
Hyderabad,01-05-2017,May,2017,12983,Foreign
Hyderabad,01-06-2017,June,2017,12486,Foreign
Hyderabad,01-07-2017,July,2017,18144,Foreign
Hyderabad,01-08-2017,August,2017,16985,Foreign
Hyderabad,01-09-2017,September,2017,27856,Foreign
Hyderabad,01-10-2017,October,2017,26368,Foreign
Hyderabad,01-11-2017,November,2017,29170,Foreign
Hyderabad,01-12-2017,December,2017,38933,Foreign
Jagtial ,01-01-2017,January,2017,0,Foreign
Jagtial ,01-02-2017,February,2017,0,Foreign
Jagtial ,01-03-2017,March,2017,0,Foreign
Jagtial ,01-04-2017,April,2017,0,Foreign
Jagtial ,01-05-2017,May,2017,0,Foreign
Jagtial ,01-06-2017,June,2017,0,Foreign
Jagtial ,01-07-2017,July,2017,0,Foreign
Jagtial ,01-08-2017,August,2017,0,Foreign
Jagtial ,01-09-2017,September,2017,0,Foreign
Jagtial ,01-10-2017,October,2017,0,Foreign
Jagtial ,01-11-2017,November,2017,0,Foreign
Jagtial ,01-12-2017,December,2017,0,Foreign
Jangaon ,01-01-2017,January,2017,0,Foreign
Jangaon ,01-02-2017,February,2017,0,Foreign
Jangaon ,01-03-2017,March,2017,0,Foreign
Jangaon ,01-04-2017,April,2017,0,Foreign
Jangaon ,01-05-2017,May,2017,0,Foreign
Jangaon ,01-06-2017,June,2017,0,Foreign
Jangaon ,01-07-2017,July,2017,0,Foreign
